"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071",
"1600000US5334890","Kapowsin CDP, Washington","333","315","302","1","5","5","0","2","18","13","5","6","0","0","1","0","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0",
"1600000US5334960","Keller CDP, Washington","234","207","22","0","183","1","0","1","27","26","0","24","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5335065","Kelso city, Washington","11925","11322","10161","97","251","189","15","609","603","561","67","258","61","21","120","5","2","2","0","3","3","2","5","10","2","38","11","2","1","0","6","0","5","6","3","3","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","2","0","0","0",
"1600000US5335135","Kendall CDP, Washington","191","183","180","0","2","0","0","1","8","7","0","4","0","0","2","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5335170","Kenmore city, Washington","20460","19534","16351","337","111","2157","59","519","926","857","166","130","382","23","81","0","15","2","4","4","1","8","20","17","4","61","16","9","0","10","8","0","2","12","0","0","0","0","0","2","0","0","1","1","0","0","7","3","0","1","0","0","0","3","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1600000US5335275","Kennewick city, Washington","73917","70771","58053","1262","627","1743","148","8938","3146","2960","480","520","496","75","1186","15","14","1","70","11","6","23","21","35","7","170","52","8","0","24","20","1","20","34","7","3","0","0","0","0","0","0","1","0","0","0","7","2","0","0","4","1","0","0","0","0","0","0","0","0","0","0","5","1","2","0","0","2","0","4","4",
"1600000US5335415","Kent city, Washington","92411","86306","51331","10434","913","14008","1773","7847","6105","5445","1215","896","1300","212","695","171","200","60","122","61","15","24","256","173","45","586","195","116","17","28","57","6","11","89","21","3","11","2","7","9","1","0","10","1","0","2","63","28","4","3","11","2","0","13","1","0","0","0","1","0","0","0","11","9","2","0","0","0","0","0","0",
"1600000US5335450","Ketron Island CDP, Washington","17","17","15","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5335485","Kettle Falls city, Washington","1595","1501","1450","1","32","7","2","9","94","88","3","66","6","4","8","0","1","0","0","0","0","0","0","0","0","4","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5335555","Key Center CDP, Washington","3692","3504","3347","23","37","58","18","21","188","166","25","74","30","10","21","1","1","0","0","0","0","1","1","1","1","22","6","4","0","1","3","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5335625","Keyport CDP, Washington","554","538","514","7","2","8","0","7","16","14","2","6","5","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5335835","Kingsgate CDP, Washington","13065","12523","9547","232","52","2110","43","539","542","501","69","72","217","11","65","9","6","1","5","2","0","2","32","10","0","38","12","4","0","0","8","0","2","7","3","1","0","0","0","1","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5335870","Kingston CDP, Washington","2099","2019","1880","11","44","38","4","42","80","73","9","25","22","0","11","0","1","0","0","0","3","1","0","1","0","6","0","0","0","0","2","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1",
"1600000US5335940","Kirkland city, Washington","48787","46609","38692","855","202","5490","134","1236","2178","2013","291","267","1000","75","159","23","43","1","16","10","0","13","54","58","3","148","46","22","0","4","20","1","4","36","9","0","3","0","1","0","2","0","0","0","0","0","16","8","1","2","2","0","0","0","3","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1600000US5336045","Kittitas city, Washington","1381","1336","1198","8","13","4","0","113","45","43","4","25","5","0","9","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US5336100","Klahanie CDP, Washington","10674","10216","7352","136","26","2553","12","137","458","427","63","29","237","9","36","5","10","1","0","2","0","0","23","12","0","27","1","7","0","3","4","0","1","8","3","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
