,city type,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
88,rural,West,08,171358.0,189680.238760499,198172.63659427,283,842.4802997129372,52.31085187953643,871.8873774509805,50.60173580560002,974.3936842339332,54.68638475550411
89,rural,West,15,82847.0,106520.2749151,151253.3153038,63,420.8858585089922,14.33404048,366.729137144038,10.961805344130038,288.6600136498163,7.87038021471203
90,rural,West,16,127350.0,131651.455931403,131943.674711228,176,826.1220291745726,45.88322815121778,870.6726696989663,46.57592697231666,975.6739423902447,54.17154873663689
91,rural,West,30,174863.0,194154.637159115,219887.721658051,387,1004.0693498452014,86.36835004586018,984.0112175335591,84.63347119617775,964.3341634758874,78.88079043123498
92,rural,West,32,51127.0,53244.81698346,52181.58242874,78,907.8165099766195,91.33781590670796,964.507102183198,79.39371923216555,1061.0660887390786,94.7819171672484
93,rural,West,35,193650.0,197428.138372951,190926.098500825,378,945.0663989452551,86.82155348260342,1020.5696573599539,93.6909560728649,1299.992505306975,115.18314912486827
94,rural,West,41,170232.0,180388.682001249,174935.930146709,232,892.190080928007,34.764773678434146,872.392810462858,34.917811233042514,959.3897588249699,38.93018697300225
95,rural,West,49,126101.0,150409.635624838,172555.115355254,195,929.5021615686276,52.33324153824411,840.0916020460315,44.28133047542472,823.1948482225635,47.93250876368769
96,rural,West,53,215009.0,246122.06727982,276520.01530201,284,829.266273333455,40.359211484806224,827.2285979622985,37.26623197075689,817.4935791550128,41.125736078267764
97,rural,West,56,83142.0,93315.069915116,107451.841574383,164,945.5224939604195,73.25063736508994,936.7709993326046,69.81060158123361,949.3478533353424,71.74070222544559
98,suburban,Midwest,17,662785.0,684354.42035548,631524.22565144,172,844.8852490172565,19.828805977356005,874.7192508674041,20.47395913557436,996.3548170452423,23.677802406019026
99,suburban,Midwest,18,295657.0,316440.26768211,312806.49984179,80,905.4293215518392,19.38553084267215,911.9161837816453,18.296843423474506,989.4507736117134,19.75779888040045
100,suburban,Midwest,19,127798.0,153234.6780905,189106.522357,34,910.0346790261125,18.88674506897385,902.6142773540219,16.595144157661558,895.2860499231215,14.96109472380826
101,suburban,Midwest,20,118404.0,126737.7829868,132896.2386639,26,1147.6878605245488,21.149090721711637,1140.0227877730313,19.287848369547334,1175.964323474334,19.677190804260817
102,suburban,Midwest,26,487309.0,497055.42289570003,462118.1032172,106,875.8735255015523,17.89012789720829,916.0388392058478,17.963347121366724,1034.2321675555418,19.950278993641064
103,suburban,Midwest,27,201187.0,228115.0758893,253112.7811335,54,769.9395633902076,18.62825386865628,775.3183584683518,17.710202151054936,782.1146391180296,16.87867550270626
104,suburban,Midwest,29,290476.0,326405.94052051,343881.81581093,103,1111.693393894267,18.801463838591296,1100.2703619913348,16.119928105836102,1117.0838301693825,14.891197824164909
105,suburban,Midwest,31,31961.0,37769.8071289,44011.2349067,9,876.8389370485036,21.552415700292656,869.6595461715367,18.768171771235583,857.359592476043,15.056153355675416
106,suburban,Midwest,38,15084.0,20937.403108,34119.947811,4,573.5406378735378,27.887981218953648,548.7399554624482,18.218737245666237,518.885302141381,11.30182384665064
107,suburban,Midwest,39,765691.0,790146.623855,744063.90633908,224,794.3750539672332,17.61981700271366,834.2795515792965,17.585255576674335,943.0166657137738,20.026671383382038
108,suburban,Midwest,46,39989.0,53020.1150425,78660.555142,15,603.5614771352328,23.776431094237285,596.0600837214529,17.42855644492948,583.7965219256001,12.34540780199093
109,suburban,Midwest,55,271103.0,292630.9516471,291790.3719006,63,976.8625477934212,19.472379063250884,962.1961175930426,18.94606247691879,1046.7507146718183,19.845747607187786
110,suburban,Northeast,09,196746.0,200778.4290591,198469.1365811,56,531.3813924498075,13.930688849633828,537.799505898191,14.022138112374389,635.797879647759,14.165293072686932
111,suburban,Northeast,23,94537.0,99625.3035778,96889.1051528,22,568.8734565610516,22.336884097294707,598.4904546251321,21.595390796380634,662.5674148310229,22.026428006624883
112,suburban,Northeast,25,206981.0,226041.498355,232766.9714014,62,845.0506046515336,20.231138604248173,843.2561125675322,18.61084943956199,873.5454793597155,20.210888310212887
113,suburban,Northeast,33,81555.0,83042.2447381,75834.2779447,20,474.51128132884037,18.940900448466614,484.35389944232315,17.68446531001697,554.0358409935423,18.843177093659307
114,suburban,Northeast,34,1151255.0,1264991.3949884,1322356.5077305,263,764.8226702695213,12.870029091592931,758.9291089179459,12.046143755067112,803.2515733331763,12.785460671883172
115,suburban,Northeast,36,1250389.0,1307568.675645,1267838.7073111,326,642.6325048563031,14.021858846041578,661.8123457855017,13.764642304098992,733.2770561675005,14.852240525364774
116,suburban,Northeast,42,1863566.0,1987516.46792154,2022821.35980005,610,702.5546296345806,14.233805767827697,722.9072665950614,13.541204711487755,776.664609934412,13.407959760784207
117,suburban,Northeast,44,49681.0,51592.357462,51731.909474399996,10,743.8151417436848,16.496254951721873,746.5328768305533,15.785184739870619,773.2222147118518,15.779730719363519
118,suburban,Northeast,50,61926.0,61738.0526436,57611.960192,18,522.2651914544506,22.75981693044611,563.1903566476071,22.667125367551478,634.424214579968,24.40123839234289
119,suburban,South,01,270934.0,290648.2849651,282307.4270584,62,804.6532617703174,32.19524315791666,812.8274660859222,31.43567216802559,881.7581481623407,32.79833715396265
120,suburban,South,05,110950.0,121858.1014636,130721.14412489,32,746.7081785928185,30.903473138129463,779.2507974720526,28.291413211393163,825.5551126400978,30.577693306023995
121,suburban,South,10,84695.0,102834.5223542,116863.3487546,26,667.908416941993,14.645577217834564,653.92010349404,12.252177204414755,647.5493528539876,11.138691835425
122,suburban,South,12,907300.0,1184733.5697157,1413727.1972192,224,1225.181440907224,17.591884432658393,1202.023507139259,14.073538241426473,1190.0201299869723,12.044563385349512
123,suburban,South,13,393818.0,454504.36511969997,491313.4842612,90,723.1142488445698,25.063466312822175,743.6659994501963,23.539527553756244,783.7470383682655,23.75232723679708
124,suburban,South,21,344020.0,385033.268278,395294.5681461,146,1099.4109874793132,16.77326887690493,1100.0810421819906,14.488944884936974,1128.722500033627,13.459480696589818
125,suburban,South,22,313214.0,347939.5521796,368840.6281166,68,883.6287021092019,21.771856901473264,906.9205490028315,21.050075335048852,990.3135613111376,21.06552525735336
126,suburban,South,24,287272.0,339913.252466,384079.1230549,79,680.2950396773551,14.38968925091046,686.3507419835203,12.451327082858992,704.5817385793545,11.321331550613868
127,suburban,South,28,137514.0,153813.2802882,162759.9725646,33,618.4080313994439,25.835038734537164,641.0072047423618,27.3549474393867,780.121258474226,29.12836784063643
128,suburban,South,37,491647.0,562850.7700959,606450.7554255,141,741.4211837327525,28.96849121274193,758.073529195011,27.250391813942976,785.8391433129283,27.753077589662475
129,suburban,South,40,91855.0,109163.4134824,131857.6733913,26,978.3013233513756,32.89358859548868,969.5553161675584,28.330773344182525,978.4029294568942,24.076884731974936
130,suburban,South,45,338012.0,406326.3406906,462642.1473341,93,778.8600426938762,27.471603298703705,794.1987302197313,24.177292438654817,856.6589721027503,21.374454607698254
131,suburban,South,47,207986.0,238245.1623115,262186.2991087,54,765.1572651270873,27.909111047921783,769.0288827861268,25.21877216801825,844.1123053769475,25.455799145266383
132,suburban,South,48,624695.0,856998.7436379,1108439.4715213,166,711.7460109402638,17.878869980105655,705.2244771143799,13.323604681577965,712.7582893628876,11.370313597532036
133,suburban,South,51,355921.0,438043.5688162,504160.8493725,75,736.6543156581002,15.0101092936074,737.0083047365968,12.977442724812745,754.7805412015116,11.355819420345584
134,suburban,South,54,185496.0,194787.004339,193926.2121173,86,651.1148740714744,22.76842335769597,715.2018990297944,22.925538290492867,833.2459661672401,28.37366932010451
135,suburban,West,04,127260.0,137181.2837934,136329.6853014,37,806.1464452339513,30.47008389819549,838.1512645557925,31.015972714758995,988.172854414306,31.33415076270154
136,suburban,West,06,843753.0,1010073.7113707,1113742.8364489,205,788.743603612975,15.190945506080784,777.6858397583659,12.831392540673765,777.9732944108792,11.770575132375711
137,suburban,West,08,192677.0,257522.9507876,315776.6274368,42,912.8283077114279,15.909170755681345,879.3018475154363,13.460336993332843,857.1977610660801,12.092667287935022
138,suburban,West,15,86454.0,109483.8046641,150522.968528,25,637.3438623970299,10.301717775900276,620.4004305632591,8.47640314326768,599.3595582450082,6.155473960364357
139,suburban,West,16,65230.0,73174.0034605,78502.91838,19,838.055619320899,23.08873783998919,824.5751308049287,20.06503695669384,840.6132696503224,17.8347244405139
140,suburban,West,30,47885.0,59995.66605,74809.328766,10,1093.8094885712171,25.700661092830607,1069.466964022894,22.460166289341277,1046.1440979150864,19.897439582487763
141,suburban,West,32,69393.0,80788.0400918,87902.835333,16,832.8192725915578,21.315291914178417,821.0282495313783,19.976513609944785,819.4413419068544,18.779041915231105
142,suburban,West,35,131617.0,138229.7719301,142317.9476935,46,949.6589043652561,27.512032103074894,987.6311598364405,27.33077533698841,1076.0770493240202,27.9055049459528
143,suburban,West,41,241225.0,287044.4042499,319531.5357557,58,998.6880537889397,14.91557067690855,984.4838443311817,13.617911837405916,973.1522966468117,13.165826698519378
144,suburban,West,49,114582.0,150847.9155599,190598.1850404,23,707.5574205654175,19.490895248949176,692.2686935443757,15.407096610108905,670.362442562319,12.445506571293228
145,suburban,West,53,388782.0,478893.1699935,568943.9553343,92,905.5986931323764,16.04116495741461,892.8814820085463,13.657459919481356,875.8652051849875,11.509396171259043
146,suburban,West,56,20304.0,23971.063568600002,28405.1549803,6,778.3648813460436,17.20799076427671,764.1035897771978,13.927029211554697,753.8897988107854,10.547011163272924
147,urban,Midwest,17,4576.0,4540.997235,3656.310406,1,385.25131118881126,4.997723984414336,393.0651412329103,5.072508682070299,488.2135684733713,6.300399870153507
148,urban,Northeast,34,66462.0,68637.01268,64149.8152443,15,564.2750324117343,6.940064678236805,609.8496500306302,7.408964585442535,796.599557333787,9.42809547976206
149,urban,Northeast,36,55357.0,65988.347459,74190.864096,9,357.69821397014647,4.221299364544043,351.3921626468323,3.7900006037555274,343.2954046698798,3.537690747957765
150,urban,Northeast,42,83569.0,88686.452464,87908.7759135,15,568.0994675118726,6.397522605851875,562.180245036335,6.218415644144843,604.1515876870272,6.511736153251063
151,urban,South,12,79712.0,101566.7508067,120055.6767825,20,1010.2637759874308,9.083494966817778,992.2654509446886,8.073797552306873,982.1593066591466,7.451745044318727
152,urban,South,24,36393.0,46468.514055,57379.916336,5,457.2624454068674,3.854851730515464,450.3446331773034,3.343714804076395,444.0832167324058,2.914899552372389
153,urban,South,51,9131.0,11556.529,13885.0655,1,362.2802918736217,2.329725367982696,356.0505312067026,2.0361524893460783,350.3687472099161,1.8121957691823405
154,urban,West,06,20317.0,25778.435249000002,28831.650158999997,3,576.7146669842025,5.988226461886017,563.0766779473375,5.108993082088077,559.1642497537111,4.61424577377417
155,urban,West,08,4613.0,6758.622802,8974.132627,1,675.0643790141257,2.8596741559700845,657.4077598391511,2.338196048565353,644.8953797339766,1.9843687935345884
