,citytype_at_2050,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
23,periurban,South,13,935932.0,1275608.00567,1631456.840411,36,701.7185682878559,13.460321569658664,632.654893167526,10.032706591542542,582.5170616005723,8.013820448542504
24,periurban,South,21,180959.0,224733.30267,259893.416009,11,799.2049935799696,14.173505104274588,763.9474095971284,12.389364944014842,752.5065653126309,10.996458555523928
25,periurban,South,22,354603.0,435984.05491,522104.68393,19,746.2217799820031,14.709933970262414,722.8832533769507,11.8488838783457,726.6780374295388,10.429225869433136
26,periurban,South,24,1565961.0,1955934.11038,2353590.01595,68,573.2044957175141,9.789906413682413,527.6821155616927,7.970639243136333,492.7276245391141,6.573401177874552
27,periurban,South,28,204782.0,274463.07791,335803.617073,8,747.176279453689,17.532309287566164,652.8354148069994,13.941677955828139,608.28564487893,11.501008073458742
28,periurban,South,37,652351.0,930341.47186,1239087.525525,27,584.0099911088788,16.753633163262833,536.3284272422923,11.274209828039355,489.15884401435096,8.741634538010224
29,periurban,South,40,191268.0,264897.91195,375994.08382,9,728.5610522090019,18.005467990614143,641.7459297321257,14.89687286303366,567.1027884020671,11.542741978063711
30,periurban,South,45,243170.0,331110.37035,416359.69776999997,14,743.5483014312472,15.524326115955079,673.2374430938469,12.33288409945678,617.7818367882735,9.763001161653742
31,periurban,South,47,456217.0,599216.25131,752026.384721,19,675.9247354844751,16.675582358233555,610.8402210568942,13.923009655482456,594.477083038584,12.94085138950993
32,periurban,South,48,3644457.0,5551320.31135,7782670.20995,91,606.7439664776398,12.872147341646125,528.1896790817924,8.701368087844562,477.89023151544654,6.358975172962254
33,periurban,South,51,1065804.0,1407244.33454,1722856.586695,35,464.558623671448,9.845888775249726,427.2244428624496,6.995635367751514,409.3718900974597,5.683624178708103
34,periurban,South,54,14350.0,16203.57011,16283.31874,1,1035.7354160005466,16.369414482717772,992.7609803058788,14.55510966463807,1012.4978219385482,14.502246418916185
35,periurban,West,04,1940975.0,2513798.62932,3008190.04479,36,962.2488378818891,16.942070363738935,877.3495482070985,14.348904923051592,845.3968315596755,12.510366593718526
36,periurban,West,06,8916736.0,11025956.83466,12286810.21161,195,788.7787652214729,8.432710606312108,727.5956160088278,6.89973078392628,690.1057480728193,6.236528298844748
37,periurban,West,08,761138.0,1071745.79961,1382609.6517100001,25,634.2326575415774,12.060513584703893,559.4967348343907,8.785970667513784,506.18872753691664,6.865629736569112
38,periurban,West,15,299155.0,365135.04524,493366.66409,14,481.5731624857252,4.008359191064972,450.04650682950376,3.3010920641934285,400.4245666957828,2.3784132850164035
39,periurban,West,16,225334.0,320750.95143,431664.5586,6,692.3523316111051,13.412004261911349,619.9428267086182,10.081761886301422,569.7563852059745,7.881505809070687
40,periurban,West,30,10460.0,16051.49565,24083.78334,1,615.7992160611857,16.371416967676865,531.9525093695858,10.842540950408289,460.0564273636436,7.322154180095137
41,periurban,West,32,704416.0,988363.5764499999,1278737.6591,9,780.1401624697475,12.12430957282888,683.002664755909,9.662775327187031,598.0918170680945,8.404680870222773
42,periurban,West,35,204547.0,238787.09161,260689.47100999998,6,991.901726582169,17.48669761743178,886.1935987652042,13.777966397373932,848.4307071336948,12.958261219798073
43,periurban,West,41,561704.0,730110.78585,876225.01036,25,850.3692339799712,9.006130398293681,773.6443175812697,6.820640631896072,716.1755317522423,5.642540171630432
44,periurban,West,49,954696.0,1370399.50118,1873207.93168,26,658.8240933173039,11.356991415114898,591.8806844498615,7.780586261295826,546.3688022093922,6.073540722398623
45,periurban,West,53,1556601.0,2117573.60595,2722807.54207,63,757.2443315754543,10.102226255101796,680.9994620682548,7.645668202378253,634.8741012483614,6.150432062240012
46,periurban,West,56,21853.0,25134.41348,28059.3462,2,1130.2406451095983,18.996752883448885,1080.8354621379135,16.664743264414696,1036.470704825162,14.863596588798242
47,suburban,Midwest,17,4736996.0,5160240.3136020005,5142397.223629,145,962.388831603992,11.138610029800883,954.392727818639,10.430765426639253,993.4082251523516,10.386276579374575
48,suburban,Midwest,18,3445440.0,4054839.42376,4483255.527074,70,1031.177370769487,14.706571810400222,1038.2506525642873,12.778456359842586,1059.7776083674653,11.835292666865445
49,suburban,Midwest,19,1416937.0,1758620.126205,2210106.465717,34,1001.9246090456011,13.807751270852572,991.1705599709667,12.254631471712521,964.7786465934025,10.351205095441749
50,suburban,Midwest,20,1727086.0,2090797.650295,2426804.5669259997,29,1026.538712310809,15.231924560171322,1015.476858296988,13.324909909373778,1041.8889343417163,12.126399898637402
51,suburban,Midwest,26,3537902.0,3909040.594826,4038629.50593,92,943.1167280159567,11.162533998407499,954.425714712108,10.689741458239327,995.6518768093417,9.863111999385879
52,suburban,Midwest,27,2251490.0,2793222.82152,3343709.87711,68,841.8454277960783,11.507617759541485,823.0111613236738,9.537304843035376,820.3561889273749,7.982162496536607
53,suburban,Midwest,29,2158442.0,2571027.43593,2869059.063402,62,1076.5184084433795,15.282937306119615,1062.0465866434424,13.680780034696673,1089.10600770044,12.290008972913071
54,suburban,Midwest,31,1131794.0,1469273.65568,1956178.309052,16,943.3728613378656,13.710500466805156,916.410247656871,12.279183327769163,885.1721792420601,10.69822739292245
55,suburban,Midwest,38,402049.0,714714.03711,1364936.23938,8,840.0909560333016,14.22930342632863,787.7075023877953,8.329766969355521,727.5425114466669,4.501060815678015
56,suburban,Midwest,39,4483389.0,4942909.282109,5129996.530805,136,945.102141517574,12.239118405969649,971.3456686790269,11.352176898382316,1021.7549942569588,11.613100187481054
57,suburban,Midwest,46,436806.0,591028.18031,893718.73799,12,831.7384076339326,14.484382263232025,812.6855467339585,12.307788222362932,789.0058372563503,8.54961925507618
58,suburban,Midwest,55,1855751.0,2065417.55047,2143613.467629,64,927.1117745055934,14.126038345146991,931.3706542673782,12.789115119360872,932.6540164629862,12.803852469985568
59,suburban,Northeast,09,944098.0,1009502.02466,1047570.3712200001,23,785.3709945452886,9.549434823242132,801.2395243649761,9.226866424623166,829.3304439947731,8.391200772741055
60,suburban,Northeast,23,244711.0,265340.63981,269975.604424,11,725.6428200093916,14.4916821463931,720.2026990199832,13.705147352802658,741.6819448392638,13.42302002687316
61,suburban,Northeast,25,1506346.0,1759361.62822,1962477.03955,38,687.9262311887542,10.475191946786875,685.950592330117,8.71838279098325,694.385098216999,7.706870849895219
