,citytype_at_2050,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
29,periurban,South,28,169899.0,175788.7750847,167922.6962727,37,743.3235520286349,29.133523702788704,771.4162566899162,29.616847082109828,879.5284932210001,33.38769911822965
30,periurban,South,37,536610.0,662946.1892398,766164.5612747,151,710.4170572293959,28.502959182369967,682.1197458844533,25.456705224817075,752.3576397966594,25.657915417370823
31,periurban,South,40,253982.0,291277.3929642,340094.1995873,50,860.7521186649932,32.897365471214925,847.2846555202404,29.882427116232666,840.7728427242228,28.076302114283592
32,periurban,South,45,233160.0,270792.275539,297405.3002297,67,659.9708713714905,29.18354277057692,645.6029489355683,26.34853554618532,701.0692502550679,25.790634575636123
33,periurban,South,47,388742.0,417018.5363796,414726.4266924,92,646.8692105726722,29.462129089749364,645.4064223651865,28.18158908585145,688.839993899439,28.16363560205244
34,periurban,South,48,1240931.0,1641233.23241267,2059608.78750833,361,685.9931815091592,24.603714455090465,621.4581668746839,18.845536418205675,596.0306418566198,16.01321573722545
35,periurban,South,51,397607.0,463573.37446174,506894.29891039,105,653.1789553916802,21.6046608368,680.7306817337878,19.405488666352326,724.8625987351937,20.821934033748885
36,periurban,South,54,127917.0,123976.18376115,108310.22719987,64,578.4701050110741,25.43144613241903,641.0359615027046,28.771820919315843,798.7639403501109,36.429388017757006
37,periurban,West,04,192878.0,219048.31755500002,232164.2041044,44,805.8721732994245,39.881577465873185,815.1803168895158,37.55230171876194,1004.1660089545765,37.32053251368917
38,periurban,West,06,1031632.0,1201029.2524042,1299600.1096219,255,812.0647001322521,18.87304729030476,787.3119808733583,16.310523269559088,786.9731368548939,15.29031904976169
39,periurban,West,08,320830.0,401288.8071116,468022.0372839,75,779.422770818581,22.846742609141412,733.2737887892279,18.343973203158036,698.8760060731063,17.52543811295264
40,periurban,West,15,202566.0,254010.0464793,349936.029743,40,420.6855619867265,8.275712354220031,393.6217393145671,6.48792947667713,350.5267884597765,4.650240039455302
