,city type,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
11,periurban,Midwest,55,544872.0,636651.12767,707553.098748,28,765.0031847675921,16.889294855032013,773.2933459661908,15.685216922922011,755.0972539265767,13.992149098461383
12,periurban,Northeast,09,270556.0,286173.91104,297635.28384,7,868.1191075050715,9.377700029604055,826.6557551512761,8.663021552266091,796.7891542415658,8.885226522249233
13,periurban,Northeast,23,21982.0,23288.42897,21671.38723,1,463.34984969877326,20.209704496659995,454.9579060957186,19.11132979337895,488.9415201415299,20.537408940974032
14,periurban,Northeast,25,905179.0,1081031.83721,1211946.74258,31,770.6045052234379,10.047109693669498,715.7159238156254,8.17329185092042,684.2252092046474,7.269469784977333
15,periurban,Northeast,33,22879.0,24032.96937,20966.48064,1,469.3767451785997,12.62697114125399,464.9860160372389,12.042688793422032,533.00624455895,13.804347027201713
16,periurban,Northeast,34,435963.0,495266.39181,539849.621349,25,752.4680169838117,10.274949309788278,718.6341956554695,8.615352040372269,692.6621980187514,7.60703048686048
17,periurban,Northeast,36,712855.0,782108.24135,801010.399678,36,751.3939818314609,10.424979568980305,721.7999675771462,9.544340044617742,723.3392825558369,9.095612188980969
18,periurban,Northeast,42,336549.0,367114.72719,375835.592433,20,782.9849219449891,12.234461395318817,758.1749545504201,11.15103334107906,794.4879399783117,10.579516963776015
19,periurban,South,01,246519.0,292444.19604,316271.98885,13,714.421603530207,20.799064808976,655.8781990011049,17.98642674269322,640.9245449058202,16.978402182437257
20,periurban,South,05,197985.0,264313.33018,334835.40236,8,772.7006883057959,16.50340459650648,720.2672543741066,12.800793949670286,691.6456279133613,11.180147361102746
21,periurban,South,10,36075.0,41645.299360000005,45267.021550000005,2,545.8944904440267,12.592796717675181,516.8389196036933,10.897518682140566,500.4413163065032,10.021108736582974
22,periurban,South,12,4183135.0,5724338.98794,7131449.789865,131,884.4741891097134,13.265146151156197,792.783739041682,9.865467677154165,729.7031929999114,8.070598575203801
23,periurban,South,13,935932.0,1275608.0056699999,1631456.840411,36,701.7185682878559,13.460321569658664,635.2446149940165,10.033221821142764,583.04789105627,8.01558015566752
24,periurban,South,21,180959.0,224733.30267,259893.41600899998,11,799.2049935799696,14.173505104274588,765.2325505864007,12.389859704397631,753.7067605566061,10.99748101093445
25,periurban,South,22,354603.0,435984.05491,522104.68393,19,746.2217799820031,14.709933970262414,723.6712461595413,11.84891523740222,727.3476656846708,10.431672725917874
26,periurban,South,24,1565961.0,1955934.11038,2353590.01595,68,573.2044957175141,9.789906413682413,528.090200118116,7.970228945859624,494.11784868543873,6.573617152929124
27,periurban,South,28,204782.0,274463.07791,335803.617073,8,747.176279453689,17.532309287566164,655.0246857792847,13.939776382734152,609.5518443498279,11.499589957636793
28,periurban,South,37,652351.0,930341.47186,1239087.525525,27,584.0099911088788,16.753633163262833,534.0340304078775,11.272148624879875,487.30933585812784,8.740973331604952
29,periurban,South,40,191268.0,264897.91195,375994.08382,9,728.5610522090019,18.005467990614143,642.5735991586297,14.895470857897196,569.1434139856779,11.543177642077517
30,periurban,South,45,243170.0,331110.37035,416359.69777,14,743.5483014312472,15.524326115955079,673.2647938512533,12.332299522842291,618.5773161258398,9.763629404794294
31,periurban,South,47,456217.0,599216.25131,752026.384721,19,675.9247354844751,16.675582358233555,610.6077036783895,13.92298632755577,594.316338737011,12.939921144003057
32,periurban,South,48,3644457.0,5551320.31135,7782670.20995,91,606.7439664776398,12.872147341646125,529.2980822693554,8.700086226810997,480.65251269943553,6.358973876501181
33,periurban,South,51,1065804.0,1407244.33454,1722856.5866949998,35,464.558623671448,9.845888775249726,426.5664212876716,6.994641068757581,411.8253925665752,5.683699867723128
34,periurban,South,54,14350.0,16203.57011,16283.31874,1,1035.7354160005466,16.369414482717772,992.583362483864,14.555885735176329,1012.6121255598264,14.5037647553441
35,periurban,West,04,1940975.0,2513798.62932,3008190.04479,36,962.2488378818891,16.942070363738935,877.6093586517953,14.349704583731434,848.4381027329785,12.51305891766973
36,periurban,West,06,9005036.0,11138985.72048,12417693.53434,197,788.0004083225654,8.404802427682034,723.4014488693524,6.875409861940602,690.9267315306537,6.213572814818926
37,periurban,West,08,761138.0,1071745.79961,1382609.65171,25,634.2326575415774,12.060513584703893,561.4070156115199,8.785407753577983,508.7950268985177,6.86481249782549
38,periurban,West,15,342640.0,418320.66951000004,567538.98253,15,476.18675124006137,3.986454402157033,445.2302284269117,3.2843513475884443,397.0462615908976,2.366419689810063
39,periurban,West,16,225334.0,320750.95143,431664.5586,6,692.3523316111051,13.412004261911349,618.7505098431459,10.081812985285246,568.5268472571618,7.88022829574275
40,periurban,West,30,10460.0,16051.49565,24083.78334,1,615.7992160611857,16.371416967676865,533.5781798433578,10.839957590081855,461.8674156345091,7.319681423746434
41,periurban,West,32,704416.0,988363.5764499999,1278737.6591,9,780.1401624697475,12.12430957282888,684.1822449208869,9.662625595912102,600.5888714615484,8.40415433191927
42,periurban,West,35,204547.0,238787.09161,260689.47101,6,991.901726582169,17.48669761743178,887.4234039844464,13.777754053868179,849.5033697613985,12.958162189987094
43,periurban,West,41,561704.0,730110.78585,876225.01036,25,850.3692339799712,9.006130398293681,773.3920886799207,6.821470171667777,717.6650369510791,5.643926823874047
44,periurban,West,49,954696.0,1370399.5011800001,1873207.93168,26,658.8240933173039,11.356991415114898,591.9702110351201,7.77914683791423,547.5825105860926,6.071435028513619
45,periurban,West,53,1556601.0,2117573.6059499998,2722807.54207,63,757.2443315754543,10.102226255101796,682.5046629649507,7.644641798313898,635.8212705377572,6.149479610397251
46,periurban,West,56,21853.0,25134.41348,28059.3462,2,1130.2406451095983,18.996752883448885,1079.6170340632461,16.66498050307701,1036.167371502694,14.864054808364248
47,suburban,Midwest,17,4736996.0,5160240.3136020005,5142397.223629,145,962.388831603992,11.138610029800883,953.755059881304,10.430100403961722,993.5573789800072,10.385314408139177
48,suburban,Midwest,18,3445440.0,4054839.42376,4483255.527074,70,1031.177370769487,14.706571810400222,1037.5028540852518,12.77425603028287,1058.2029377816143,11.83506259652625
49,suburban,Midwest,19,1416937.0,1758620.126205,2210106.465717,34,1001.9246090456011,13.807751270852572,991.6790215277917,12.254786256595043,965.444183350367,10.351468100322645
