STATEFP,GEOID,NAMELSAD,ALAND,AWATER,sum
42,4236592,Hyde Park borough,622692,143230,106743.42745098041
42,4243064,Liberty borough,3704812,104034,377251.4784313727
42,4254104,New Stanton borough,10376273,61250,658457.0549019609
42,4256496,Oklahoma borough,1571636,87618,128305.70588235292
42,4275584,Sutersville borough,703748,81728,116221.16078431373
42,4203688,Avonmore borough,3808901,220211,206580.92941176466
42,4242280,Leechburg borough,1137865,107419,261673.9411764706
42,4247064,Manorville borough,260937,48952,49849.74117647059
42,4215872,Conway borough,3305588,473269,786906.8352941177
42,4225152,Fallston borough,1227755,100787,83474.05882352937
42,4250320,Monaca borough,5250008,918157,874081.3607843138
42,4253288,New Brighton borough,2672318,222906,497126.9137254901
42,4276696,Tidioute borough,2779067,342940,138338.19215686276
42,4287272,Zelienople borough,5316939,119741,734887.1882352945
42,4237696,Jamestown borough,2157932,14071,149209.41568627456
21,2140240,Jeffersonville city,7104503,27668,408606.4117647053
21,2153130,Monticello city,15771920,110568,1672012.2862745111
21,2167638,Sacramento city,1114324,1090,121571.95686274506
21,2132572,Grayson city,7170094,147726,861882.4039215688
21,2105662,Benham city,606684,629,72332.10980392154
21,2168232,Salyersville city,6393416,61369,461378.29803921573
21,2163912,Radcliff city,34592327,79370,3530673.3254901995
21,2159196,Paris city,20504281,134720,1865789.6666666653
21,2153418,Morehead city,24543083,293852,1212800.7960784312
21,2112358,Campton city,2587931,3540,192122.1882352941
21,2132428,Gratz city,902310,4612,32261.745098039206
21,2175963,Ten Broeck city,563463,5591,29612.215686274507
21,2176380,Thornhill city,117680,25,26040.376470588228
21,2180913,Watterson Park city,3728582,7125,1032837.3607843135
21,2181624,West Buechel city,1655990,20235,424181.7019607843
21,2104816,Bedford city,704949,12287,107940.73333333331
21,2148558,Lyndon city,9326618,79677,1819458.509803921
21,2136102,Heritage Creek city,1169529,4262,173684.2705882353
21,2158692,Owenton city,4923433,82393,338991.21960784326
21,2139664,Irvington city,2273139,1044,247999.91764705884
21,2107012,Blackey city,1132237,31643,24861.32549019608
21,2182776,Whitesburg city,8110971,184740,431936.2784313725
21,2127846,Fleming-Neon city,4182290,2127,115049.72156862744
21,2150034,Marion city,8612792,68906,818112.1725490196
21,2179590,Vicco city,2171383,27218,59831.50196078432
21,2135362,Hazard city,19295262,381772,1300537.6352941184
21,2129566,Fulton city,7491619,225739,681165.831372549
21,2152140,Midway city,3543836,4081,349425.37254901964
21,2148000,Louisville city,159239204,12488303,3.4588948266666695E7
21,2110612,Buckhorn city,873359,38895,38730.5568627451
21,2152590,Milton city,3827981,10843,176242.70588235292
21,2134552,Hardinsburg city,8956238,214884,741187.8862745095
21,2102674,Augusta city,3082910,1109484,215212.77254901957
21,2110000,Brooksville city,1221565,586,117678.35686274507
21,2183550,Wilmore city,10509568,89231,795940.0823529409
21,2169114,Scottsville city,16324141,31042,1052986.3411764705
21,2169852,Sharpsburg city,510270,1038,57285.24705882353
21,2158710,Owingsville city,6507285,57832,315677.7098039214
21,2116750,Columbia city,12543861,104301,1120433.2392156872
21,2168160,Salt Lick city,2023732,23647,81592.23137254901
21,2105968,Berry city,659276,2740,32648.43137254902
21,2119432,Cynthiana city,11369946,130021,1283173.701960784
21,2117686,Corydon city,1405909,574,129995.12941176472
21,2159255,Park Hills city,2012511,4186,381941.5803921568
21,2180490,Walton city,12277676,55906,978747.6627450979
21,2117848,Covington city,34179218,1447150,4281493.454901959
21,2175738,Taylor Mill city,15831792,240987,1155162.0392156867
21,2170752,Simpsonville city,6093199,57334,624951.5333333333
21,2111044,Burgin city,3253182,22277,240432.05098039212
21,2140222,Jeffersontown city,26789468,95184,6553565.427450977
21,2138170,Houston Acres city,373159,1070,75007.24705882354
21,2183784,Windy Hills city,2383855,9378,496061.25490196067
21,2136865,Hills and Dales city,258325,402,30061.423529411768
21,2169384,Seneca Gardens city,396637,287,113804.74117647059
21,2152842,Mockingbird Valley city,536022,535,55444.8274509804
21,2132986,Green Spring city,690826,3172,115389.25098039216
21,2100802,Alexandria city,17938998,82931,1513388.1725490196
22,2270805,Slidell city,38955123,869953,5971149.207843127
26,2669680,Rose City city,2788788,21646,178118.67843137254
26,2685580,West Branch city,3982632,1575,543517.2666666666
26,2606900,Belding city,12234179,472138,1022172.1568627451
26,2615020,Chelsea city,9366365,133352,1066060.6235294123
26,2622160,Dexter city,5032810,60357,682864.0274509806
26,2689140,Ypsilanti city,11114012,455243,2123785.3450980396
26,2671140,Saline city,11228402,183095,1620002.956862745
26,2615920,Clare city,9640647,274083,884072.2313725486
26,2627760,Fenton city,17226894,840031,2201202.7529411763
26,2646040,Lapeer city,19018466,438669,2049353.047058825
26,2634640,Grayling city,5308406,84107,662789.6980392155
26,2601260,Allegan city,9962272,1072087,950306.0627450979
26,2622740,Douglas city,4607391,589876,459609.9529411764
26,2661620,Otsego city,5200258,162479,715700.498039216
26,2664740,Plainwell city,5159460,213413,796728.7921568623
26,2671700,Saugatuck city,3603915,977910,284501.8078431373
26,2684880,Wayland city,7672295,117001,791325.2156862745
26,2640000,Huntington Woods city,3857064,1314,932174.3607843134
26,2636800,Harrison city,9622242,805253,512221.0313725487
26,2639720,Hudson city,5678298,14645,466379.1999999999
26,2679120,Tecumseh city,14632021,625317,1512248.6235294119
26,2669080,Rockford city,8349105,171780,1015069.7215686275
26,2689320,Zilwaukee city,5726169,403460,534842.980392157
26,2613420,Caro city,7624993,25794,1057501.6941176467
26,2627960,Ferrysburg city,7744479,1554444,745198.235294118
26,2633340,Grand Haven city,14825537,1367254,2746310.921568626
26,2639800,Hudsonville city,10667168,1542,1444565.3254901953
26,2689260,Zeeland city,7747148,48803,1664931.9725490182
26,2622880,Dowagiac city,11533014,202324,1018929.3176470589
26,2681840,Vassar city,5564554,120521,635534.309803921
26,2653920,Milan city,8932455,212234,1134929.698039216
26,2610580,Bridgman city,7492013,80700,477287.56470588234
26,2633280,Grand Blanc city,9355425,49387,1294405.8431372552
26,2647820,Linden city,6099237,168034,660519.9333333331
26,2677700,Swartz Creek city,10855664,5158,1356928.6392156866
26,2665860,Portland city,6810023,371181,690259.9568627448
26,2611400,Buchanan city,6533098,181576,855781.3960784314
26,2617320,Coloma city,2299954,4207,318366.5254901961
26,2657220,New Buffalo city,6390658,55224,673148.3607843136
26,2670960,St. Joseph city,8295241,4084475,1743044.3254901972
26,2670760,St. Clair Shores city,30252928,7043307,7844493.458823528
26,2679760,Three Rivers city,14403485,697666,1697566.8000000007
26,2684500,Watervliet city,3056238,87182,266674.14117647073
26,2631260,Galesburg city,3670664,106649,307497.00000000006
26,2662340,Parchment city,2376755,49684,393947.4705882353
26,2624420,East Tawas city,7285924,1195088,719410.8470588234
26,2655100,Montague city,6805098,1333036,598992.5607843138
26,2656360,Muskegon Heights city,8250102,2456,1723435.5254901957
26,2658640,North Muskegon city,4634988,6031720,738396.0431372549
26,2686780,Whitehall city,8328200,1506925,781464.2862745097
26,2650720,Manistee city,8492052,3236852,1270285.5098039228
26,2609180,Bloomfield Hills city,12843644,209106,1384702.6784313724
26,2667820,Reed City city,5444782,85921,595097.0039215686
26,2640860,Ionia city,14015578,340325,1229480.019607844
26,2647180,Leslie city,3323771,2613,341537.21176470583
26,2652180,Mason city,13235584,54809,1541426.6980392162
26,2642460,Keego Harbor city,1283273,189825,346330.3333333333
26,2651940,Marshall city,16816874,302236,1425709.9568627456
26,2604080,Auburn city,2734256,9302,392297.4000000001
26,2626420,Essexville city,3353869,279049,760520.3215686275
26,2664160,Pinconning city,2228913,2594,349744.7568627451
26,2630260,Frankfort city,3601089,510909,394259.1294117648
26,2676460,Sterling Heights city,94387916,712140,1.8640983337254893E7
26,2665820,Port Huron city,20984847,10799868,5047336.337254904
26,2621020,Dearborn Heights city,30399720,22115,7397935.070588226
26,2647800,Lincoln Park city,15115834,38350,4233631.94901961
26,2668760,River Rouge city,6874442,1538341,1906184.0509803924
26,2669180,Rockwood city,6531204,466251,609238.0078431373
26,2659140,Norton Shores city,60199634,3583665,5370889.054901958
26,2608640,Birmingham city,12415070,31709,3395031.549019609
26,2604105,Auburn Hills city,43095047,113296,6028770.784313728
26,2669035,Rochester Hills city,84960992,254848,1.1643623698039215E7
26,2670040,Royal Oak city,30541641,4660,7755461.784313727
26,2675100,South Lyon city,9689891,7081,1431778.6470588227
26,2640680,Inkster city,16194523,1610,2921600.0627450985
26,2652940,Melvindale city,7062626,63173,1776356.1529411757
26,2665060,Plymouth city,5728734,31170,1364948.8352941175
26,2601180,Algonac city,3675353,794943,657732.2823529413
26,2651600,Marine City city,5584222,1914861,880285.870588235
26,2652080,Marysville city,18978997,2558409,2427058.992156862
26,2670680,St. Clair city,7613886,1753837,1158946.3725490198
26,2604740,Bad Axe city,6028839,1456,823475.6196078436
26,2613760,Caseville city,2897477,77440,312909.31764705875
26,2636460,Harbor Beach city,4456761,871770,485019.5254901962
26,2624540,Eaton Rapids city,9181896,266379,936595.6313725491
26,2666100,Potterville city,4522108,351431,440664.14509803936
26,2668880,Riverview city,11846133,240737,1771170.0392156867
26,2669420,Romulus city,92223412,894611,8301502.576470587
26,2689000,Yale city,3556353,24442,363568.0470588234
26,2657080,Newaygo city,9753348,401743,505862.58823529386
26,2686680,White Cloud city,5007033,143820,311849.505882353
26,2614820,Charlotte city,16707569,120959,1899817.2862745102
26,2680420,Trenton city,18762029,789725,3395940.6078431373
26,2684940,Wayne city,15591032,1444,3205497.733333333
26,2688380,Woodhaven city,16545969,146067,2840610.5294117653
26,2688900,Wyandotte city,13706889,4368232,3680439.9725490203
26,2607520,Benton Harbor city,11346610,650155,1484389.133333333
26,2644440,Lake Angelus city,2551605,1643874,104179.49019607838
26,2644200,Laingsburg city,4111242,282897,249360.96078431362
26,2612060,Burton city,60493513,173960,5763745.980392154
26,2639540,Howell city,12927565,528321,1744108.4980392158
26,2616620,Clio city,2870477,25025,469019.32156862743
26,2629200,Flushing city,9353209,312205,1493355.2549019605
26,2661020,Orchard Lake Village city,6209155,4295314,633591.611764706
26,2677860,Sylvan Lake city,1345652,857380,299353.1607843137
26,2624290,Eastpointe city,13358216,5331,3346908.0274509788
26,2630420,Fraser city,10725533,40959,2588419.172549019
26,2650880,Manton city,4043242,138685,261164.75294117647
26,2626640,Evart city,6379928,170503,464826.4705882354
26,2655820,Mount Clemens city,10600690,293496,2590954.7882352932
26,2657100,New Baltimore city,11917313,5500815,1730531.2235294115
26,2668380,Richmond city,7485598,86957,1018771.3215686273
26,2669800,Roseville city,25476020,70507,6184090.694117647
26,2610620,Brighton city,9102037,460293,1488623.149019607
26,2606660,Beaverton city,2718886,718445,271788.6901960783
26,2632320,Gladwin city,7452169,54703,829307.4352941179
26,2605140,Bangor city,4591408,188001,349993.0941176471
26,2636960,Hartford city,3519795,12686,408106.27450980386
26,2636920,Hart city,4603109,417060,578608.1333333333
26,2607020,Belleville city,2932551,136437,576978.2862745101
26,2658980,Northville city,5281294,43195,1051842.133333334
26,2601380,Allen Park city,18115884,41189,4434428.082352942
26,2618300,Corunna city,8242301,175651,637634.2117647057
26,2660580,Olivet city,2641980,3267,184572.24313725493
26,2628360,Flat Rock city,17012186,357303,2014893.2941176468
26,2686000,Westland city,52917818,39575,1.0126824227450978E7
26,2624740,Ecorse city,7347875,2267443,1952310.050980392
26,2632020,Gibraltar city,9548771,1873248,1005661.9019607843
26,2635480,Grosse Pointe city,2750532,3089426,878487.4705882353
26,2635520,Grosse Pointe Farms city,7077722,24842299,1667941.9725490194
26,2635540,Grosse Pointe Park city,5610235,3999257,1539560.215686275
26,2635580,Grosse Pointe Woods city,8393847,3264,2287145.874509803
26,2661940,Owosso city,13592999,367415,2432048.980392157
26,2663700,Perry city,7247908,632654,372507.5999999999
26,2630200,Frankenmuth city,8052684,146264,1266724.341176471
26,2687420,Williamston city,6354524,181806,641682.6470588238
26,2641340,Ithaca city,14824942,410585,820985.3058823523
26,2671000,St. Louis city,8585204,472591,886792.4313725485
26,2682960,Walker city,63655809,1466409,5611017.2392156795
26,2688940,Wyoming city,64079696,544690,1.205266314509804E7
26,2678140,Tawas City city,4401132,1112367,543492.7215686276
26,2627740,Fennville city,2826807,25215,274205.88235294103
26,2674980,South Haven city,8816608,237577,1438703.3450980403
26,2630700,Fremont city,9349250,3435738,1183804.3450980384
26,2634360,Grant city,1723041,51113,205333.17647058822
26,2618020,Coopersville city,12458984,9144,943132.6588235294
26,2649700,Luna Pier city,3863888,509686,298597.7882352942
26,2663800,Petersburg city,1250426,22143,190409.72156862743
26,2613600,Carson City city,2961737,76106,324578.69803921576
26,2635100,Greenville city,16427156,804635,1834553.050980392
26,2676220,Stanton city,5558455,11162,311951.11764705885
26,2637120,Hastings city,13495470,200559,1367793.8823529407
26,2681540,Utica city,4556795,47719,917840.898039216
26,2652960,Memphis city,2905806,76402,231677.19215686276
26,2617100,Coleman city,3230117,25375,266545.19215686276
26,2661860,Ovid city,2346431,3984,299840.8901960784
26,2618920,Croswell city,5967571,303094,634095.5999999997
26,2651820,Marlette city,4181803,8175,493023.9254901961
26,2671540,Sandusky city,5626933,6492,739758.4000000004
26,2622120,DeWitt city,7348374,374524,703643.6117647056
26,2633420,Grand Ledge city,9885357,252559,1264841.1176470586
26,2660660,Omer city,2932910,71689,83828.97647058821
26,2682453,Village of Grosse Pointe Shores city,2883841,46528069,584188.4901960786
26,2604120,Au Gres city,5899055,258090,435927.2980392156
26,2676120,Standish city,5641129,85,557643.4588235294
26,2600980,Albion city,11422016,235037,1371798.4862745102
26,2675700,Springfield city,9488622,96340,1181406.08627451
26,2611180,Brown City city,2937051,4038,324792.59607843123
26,2682450,Village of Clarkston city,1146538,202172,159292.925490196
26,2683060,Walled Lake city,5720011,465932,1044077.2941176468
26,2688140,Wixom city,23666645,566797,3194851.0392156867
26,2610860,Bronson city,3540656,7355,440537.76470588235
26,2641920,Jonesville city,7234492,84118,616714.9333333337
26,2647980,Litchfield city,7190817,97452,458860.12941176485
26,2614200,Cedar Springs city,5064723,170096,633854.3529411766
