,GEOID,NAMELSAD,city type,REGION,label,future trend from SSP 2,CensusPop_20,ssp22030,ssp22040,ssp22050,ssp22060,ssp22070,ssp22080,ssp22090,ssp22100,volume_m3_perCap_2020_ssp2,volume_m3_perCap_2030_ssp2,volume_m3_perCap_2040_ssp2,volume_m3_perCap_2050_ssp2,volume_m3_perCap_2060_ssp2,volume_m3_perCap_2070_ssp2,volume_m3_perCap_2080_ssp2,volume_m3_perCap_2090_ssp2,volume_m3_perCap_2100_ssp2,length_m_perCap_2020_ssp2,length_m_perCap_2030_ssp2,length_m_perCap_2040_ssp2,length_m_perCap_2050_ssp2,length_m_perCap_2060_ssp2,length_m_perCap_2070_ssp2,length_m_perCap_2080_ssp2,length_m_perCap_2090_ssp2,length_m_perCap_2100_ssp2,weighted_HU_density_sqmi,RBUV_Burden_2050,RBUV_Burden_2100,RL_Burden_2050,RL_Burden_2100
28002,4862252,Rising Star town,rural,South,3 slowly depopulating,decreasing,756,748.0236625,722.2630691,696.4211921,674.0839507,649.7440992,619.0881596,584.4910958,547.0997672,1329.4755576304597,1239.7555459375178,1284.4004824948245,1332.3809602891715,1375.8711400018744,1426.6725359404052,1498.121402845337,1587.9060759610672,1695.3147136403352,56.055209659709,56.65293843928367,58.67355028348077,60.85073082706381,62.86715246481243,65.22219833149352,68.45186399643104,72.50365113729761,77.4588860083507,6.997797952041666,increasingBurden,increasingBurden,increasingBurden,increasingBurden
28003,4865636,San Perlita city,rural,South,3 slowly depopulating,decreasing,538,541.0283567,534.0675517,522.3929106,510.1163957,493.5864502,471.4860317,444.0555291,414.8212881,472.077600408193,409.0876568114644,414.4502290917645,423.9778205651384,433.9537692843181,448.00895209514624,469.8862469957585,498.4604106644195,533.2925839397644,39.92669972702602,39.802236542680646,40.32100164319195,41.22211115946794,42.21416682779091,43.62789663481568,45.67290901922853,48.494247269741294,51.911845528236285,2.747956000385861,decreasingBurden,increasingBurden,increasingBurden,increasingBurden
28004,4847316,Meadow town,rural,South,4 fluctuating,increasing,601,628.1091772,664.8236533,709.7140796,767.5831082,822.2743703,875.7212006,911.7156904,935.6880172,651.3353626309092,556.4571517648704,528.3564802392193,497.95097235366507,463.785541820812,436.1186711843322,411.7109047653207,396.9721471296638,387.74717674770136,53.208966199101496,51.91910436273492,50.304217936968485,48.50879056944102,46.439278634484296,44.69502368012696,43.156571079056334,42.20040168502016,41.59556474313891,1.0711124924226156,decreasingBurden,decreasingBurden,decreasingBurden,decreasingBurden
28005,4875764,Von Ormy city,rural,South,,increasing,1174,1360.120045,1539.1594,1716.381232,1896.785362,2068.55223,2216.553584,2337.63315,2432.712758,384.3879246417477,297.9027022653419,266.3583489883358,241.3628451557546,220.4192921522741,203.76535809092212,191.41242173478204,182.42297803414164,175.96327068699125,12.60272281262351,11.612254982120144,10.840361887518329,10.202758224243729,9.651059519284614,9.196743893533451,8.84995027906395,8.591976745150768,8.403541719261547,31.42345210954309,decreasingBurden,decreasingBurden,decreasingBurden,decreasingBurden
28006,4872788,Thornton town,rural,South,2 moderately depopulating,decreasing,421,424.7257861,420.6444355,414.1770962,409.9874942,404.0870246,394.950299,381.5415462,364.8037791,725.1485538633507,645.6919394757633,651.826779755818,662.8480055004817,669.3148153102425,679.2551343495035,694.7318336131631,718.3745399926686,751.8330802115051,76.83634494299287,76.4607030169882,77.20257170654754,78.40808314269349,79.20932383075835,80.36593658703923,82.22511105036273,85.11479947094935,89.01999939465254,7.979122509948274,decreasingBurden,increasingBurden,increasingBurden,increasingBurden
28007,4822552,Eden city,rural,South,1 severely depopulating,no trend,1100,1182.211536,1253.510037,1339.359252,1403.337986,1436.077094,1430.939935,1331.178727,1228.551781,1342.0366844919786,1132.962146567102,1073.9157611566488,1012.0170259941352,970.1375500266836,949.9349780766206,953.2541079790548,1024.873500013544,1109.932163155433,54.25057315763637,52.11864479380712,50.44833890227945,48.62333074129278,47.37756197553421,46.77371423966399,46.94163464022903,50.4595350409946,54.67466708339181,1.6863960208143975,decreasingBurden,increasingBurden,decreasingBurden,increasingBurden
28008,4830296,Goree city,rural,South,2 moderately depopulating,increasing,158,165.432003,172.57562,178.1702128,186.4854804,192.500293,196.7452668,197.8493529,195.1715311,1142.0882849342267,961.9488673211904,921.5935932823404,898.1291441031,863.0901509143973,834.7050784091485,819.3488435311586,815.6021793636776,828.1499052000419,241.92650442822784,235.81957643834653,230.33907794266636,226.28760754810645,220.61854122174185,216.7572804731175,214.14337203623325,213.4778509842404,216.40684190807477,5.787155471656521,decreasingBurden,decreasingBurden,decreasingBurden,decreasingBurden
28009,4846620,Marfa city,rural,South,3 slowly depopulating,decreasing,1788,1587.805128,1437.022222,1339.726496,1282.673504,1139.340607,1117.945735,1107.248299,1095.022658,2741.396804404088,2856.1148560967986,3156.2354846776034,3384.709247374415,3535.082144568758,3982.0108792640176,4056.807148015848,4097.118691492065,4142.018622357732,50.57836261246644,56.955422775968,62.93160326026607,67.5019211914504,70.50438951851147,79.37407988047774,80.89311450442628,81.6746455449646,82.58652155770277,0.6040202037694384,increasingBurden,increasingBurden,increasingBurden,increasingBurden
28010,4864004,Sabinal city,rural,South,2 moderately depopulating,increasing,1364,1453.571048,1528.988374,1601.464997,1696.742604,1776.758466,1808.939791,1818.445116,1811.064214,1512.1715772526018,1205.4843454885229,1151.8331298508233,1104.8428372318174,1048.1125831509537,1005.3081323957268,989.1974484133784,984.7637039019666,988.570079344989,45.81284168607038,44.22046058434254,42.99363555240193,41.90025653340329,40.57478972512191,39.54803211089308,39.155133569401855,39.04115842374249,39.20026872036509,4.391715934385113,decreasingBurden,decreasingBurden,decreasingBurden,decreasingBurden
28011,4832240,Hardin city,rural,South,4 fluctuating,increasing,768,817.90257,856.7040016,890.4992495,928.5381772,966.970598,993.803733,1007.769659,1011.117717,908.5384344362748,724.2578181705117,694.3581906290107,671.0119099567073,645.4617829704056,622.4587682287365,607.1341581982113,599.4962146901325,597.8857372378865,46.39812239859375,44.80154972097163,43.66130110181484,42.731739116138826,41.74900044708816,40.8177463384802,40.20101205395208,39.8901714265419,39.816647851696445,19.825316622225834,decreasingBurden,decreasingBurden,decreasingBurden,decreasingBurden
